Operation Date;Operation Type;Symbol;Description;Trade Action;Qty;Price;Fees;Net amount;Saldo
2025-12-11T20:30:35.480Z;TRADE;SHOP;BUY - SHOP;BUY;1,17719;169,895;0,15;-200,15;906,01
2025-12-17T11:49:57.177Z;TRANSACTION;;DEPOSIT;;0;0;0;0,01;1106,16
2025-12-17T11:49:57.175Z;TRANSACTION;;DEPOSIT;;0;0;0;0,01;1106,15
2025-12-17T11:49:57.172Z;TRANSACTION;;WITHDRAWAL;;0;0;0;-0,01;1106,14
2025-12-01T15:39:42.754Z;TRADE;VOO;BUY - VOO;BUY;0,27587;625,325;0,15;-172,66;1106,15
2025-12-01T15:34:26.071Z;TRANSACTION;;DEPOSIT;;0;0;0;160;1278,81
2025-11-14T15:59:51.174Z;TRADE;SOFI;SELL - SOFI;SELL;-8,4656;26,63;0,11;225,33;1118,81
2025-11-13T15:05:26.598Z;TRADE;AMBA;SELL - AMBA;SELL;-2,1306;84,54;0,11;180,01;893,48
2025-11-13T15:06:31.476Z;TRADE;AMPX;SELL - AMPX;SELL;-23;11,3153;0,11;260,14;713,47
2025-11-10T15:00:23.437Z;TRADE;AMBA;BUY - AMBA;BUY;2,1306;93,87;0,15;-200,15;453,33
2025-11-06T14:44:00.177Z;TRADE;AMBA;SELL - AMBA;SELL;-2,21055;84,97;0,11;187,72;653,48
2025-11-04T14:40:20.407Z;TRADE;RKLB;SELL - RKLB;SELL;-3,8543;53,95;0,11;207,83;465,76
2025-11-06T14:42:17.735Z;TRADE;AMBA;BUY - AMBA;BUY;2,21055;90,475;0,15;-200,15;257,93
2025-11-04T14:41:15.780Z;TRADE;SOUN;SELL - SOUN;SELL;-15;15,5;0,11;232,39;458,08
2025-11-04T14:37:44.442Z;TRADE;RMBS;SELL - RMBS;SELL;-1,80163;101,2;0,11;182,21;225,69
2025-11-03T14:41:39.093Z;TRADE;VOO;BUY - VOO;BUY;0,28648;628,3;0,15;-180,15;43,48
2025-11-03T14:20:24.366Z;TRANSACTION;;DEPOSIT;;0;0;0;155;223,63
2025-10-29T14:24:43.462Z;TRADE;RMBS;BUY - RMBS;BUY;1,80163;111,01;0,15;-200,15;68,63
2025-10-20T14:35:27.548Z;TRADE;VOO;BUY - VOO;BUY;0,25161;616,02;0,15;-155,15;268,78
2025-10-20T14:32:18.297Z;TRANSACTION;;DEPOSIT;;0;0;;155;423,93
2025-10-02T11:30:00.000Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;;12,51;268,93
2025-09-23T16:30:38.640Z;TRADE;RKLB;BUY - RKLB;BUY;3,8543;51,89;0,15;-200,15;256,42
2025-09-17T11:50:07.138Z;TRANSACTION;;DEPOSIT;;0;0;0;0,01;456,57
2025-09-17T11:50:05.007Z;TRANSACTION;;DEPOSIT;;0;0;0;0,01;456,56
2025-09-17T11:50:05.005Z;TRANSACTION;;WITHDRAWAL;;0;0;0;-0,01;456,55
2025-09-15T13:40:00.702Z;TRADE;AMPX;BUY - AMPX;BUY;23;8,8;0,1;-202,5;456,56
2025-09-15T13:42:54.603Z;TRADE;RKLB;SELL - RKLB;SELL;-3,71057;48,3;0,11;179,11;659,06
2025-09-15T13:35:08.424Z;TRADE;RKLB;BUY - RKLB;BUY;3,71057;53,9;0,15;-200,15;479,95
2025-09-05T13:33:43.867Z;TRADE;SOUN;BUY - SOUN;BUY;15;13,8;0,1;-207,1;680,1
2025-09-04T15:17:03.044Z;TRADE;SOUN;SELL - SOUN;SELL;-14,86988;12,755;0,11;189,56;887,2
2025-09-03T13:33:42.285Z;TRADE;TOST;SELL - TOST;SELL;-4,40577;41,24;0,11;181,58;697,64
2025-08-28T17:21:12.525Z;TRADE;SOUN;BUY - SOUN;BUY;14,86988;13,45;0,15;-200,15;516,06
2025-09-02T13:38:37.439Z;TRADE;AS;SELL - AS;SELL;-4,93766;38,1;0,11;188,01;716,21
2025-09-02T16:40:07.398Z;TRADE;VOO;BUY - VOO;BUY;0,25659;584,58;0,15;-150,15;528,2
2025-09-02T16:34:31.096Z;TRANSACTION;;DEPOSIT;;0;0;0;150;678,35
2025-08-28T17:21:57.806Z;TRADE;TOST;BUY - TOST;BUY;4,40577;45,395;0,15;-200,15;528,35
2025-08-26T13:53:24.144Z;TRADE;AS;BUY - AS;BUY;4,93766;40,505;0,15;-200,15;728,5
2025-08-18T14:39:34.499Z;TRADE;SOFI;BUY - SOFI;BUY;8,4656;23,625;0,15;-200,15;928,65
2025-08-14T11:45:57.430Z;TRANSACTION;;FPL;;0;0;0;0,02;1128,8
2025-07-17T14:45:15.816Z;TRADE;TOST;SELL - TOST;SELL;-4,39947;43,05;0,11;189,29;1128,78
2025-08-01T13:33:46.401Z;TRADE;FROG;SELL - FROG;SELL;-4,64576;40,75;0,11;189,2;939,49
2025-08-05T17:20:47.552Z;TRADE;VOO;BUY - VOO;BUY;0,26107;578,37;0,15;-151,15;750,29
2025-08-05T17:04:04.203Z;TRANSACTION;;DEPOSIT;;0;0;0;151;901,44
2025-07-29T12:53:47.743Z;TRADE;FROG;BUY - FROG;BUY;4,64576;43,05;0,15;-200,15;750,44
2025-07-25T15:28:08.803Z;TRADE;QBTS;SELL - QBTS;SELL;-10,40853;17,9;0,11;186,2;950,59
2025-07-25T14:35:20.900Z;TRADE;QBTS;BUY - QBTS;BUY;10,40853;19,215;0,15;-200,15;764,39
2025-07-23T18:44:15.850Z;TRADE;OPEN;SELL - OPEN;SELL;-83,682;2,255;0,11;188,59;964,54
2025-07-23T18:32:57.601Z;TRADE;OPEN;BUY - OPEN;BUY;83,682;2,39;0,15;-200,15;775,95
2025-07-17T14:42:28.178Z;TRADE;TOST;BUY - TOST;BUY;4,39947;45,46;0,15;-200,15;976,1
2025-07-11T14:25:10.518Z;TRADE;BBAI;SELL - BBAI;SELL;-100;6,3;0,12;629,88;1176,25
2025-07-11T11:46:03.132Z;TRANSACTION;;FPL;;0;0;0;0,01;546,37
2025-07-03T12:11:13.254Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;11,57;546,36
2025-07-01T18:20:15.566Z;TRADE;VOO;BUY - VOO;BUY;0,27808;568,175;;-158,15;534,79
2025-07-01T18:17:49.318Z;TRANSACTION;;DEPOSIT;;0;0;0;158;692,94
2025-06-26T13:32:43.190Z;TRADE;BBAI;BUY - BBAI;BUY;100;4,9789;0,1;-497,99;534,94
2025-06-17T18:20:01.095Z;TRADE;BBAI;SELL - BBAI;SELL;-250;3,785;0,14;946,11;1032,93
2025-06-17T14:52:38.164Z;TRADE;BBAI;BUY - BBAI;BUY;250;4,3199;0,1;-1080,08;86,82
2025-06-17T11:50:21.556Z;TRANSACTION;;DEPOSIT;;0;0;0;0,01;1166,9
2025-06-17T11:50:21.553Z;TRANSACTION;;DEPOSIT;;0;0;0;0,01;1166,89
2025-06-17T11:50:21.551Z;TRANSACTION;;WITHDRAWAL;;0;0;0;-0,01;1166,88
2025-06-12T11:45:53.462Z;TRANSACTION;;FPL;;0;0;0;0,01;1166,89
2025-06-03T13:51:44.778Z;TRADE;BBAI;SELL - BBAI;SELL;-304;3,8;0,15;1155,05;1166,88
2025-06-03T14:20:02.046Z;TRADE;VOO;BUY - VOO;BUY;0,28414;545,4925;0,15;-155,15;11,83
2025-06-03T13:55:17.302Z;TRANSACTION;;DEPOSIT;;0;0;0;155;166,98
2025-05-27T14:57:05.956Z;TRADE;BBAI;BUY - BBAI;BUY;134;4,44;0,1;-595,06;11,98
2025-05-02T15:16:45.407Z;TRADE;VOO;BUY - VOO;BUY;0,2999;520,16;0,15;-156,15;607,04
2025-05-02T15:10:08.903Z;TRANSACTION;;DEPOSIT;;0;0;0;156;763,19
2025-04-01T15:09:48.336Z;TRADE;VOO;BUY - VOO;BUY;0,30094;515,0475;0,15;-155,15;607,19
2025-04-01T14:58:59.200Z;TRANSACTION;;DEPOSIT;;0;0;0;155;762,34
