Operation Date;Operation Type;Symbol;Description;Trade Action;Qty;Price;Fees;Net amount;Saldo
2020-04-29T00:00:00.000Z;TRANSACTION;;DEPOSIT;;0;0;0;3,0;3,0
2020-05-05T00:00:00.000Z;TRANSACTION;;FEE;;0;0;0;0,01;3,01
2020-05-05T00:00:00.000Z;TRANSACTION;;FEE;;0;0;0;-0,01;3,00
2020-06-24T00:00:00.000Z;TRANSACTION;;DEPOSIT;;0;0;0;530,0;533,00
2020-06-24T00:00:00.000Z;TRADE;NIU;BUY - NIU;BUY;7,0;14,77;1,0;-104,39;428,61
2020-06-25T00:00:00.000Z;TRADE;RPAY;BUY - RPAY;BUY;2,0;26,21;0,5242;-52,9442;375,6658
2020-06-26T00:00:00.000Z;TRADE;DOYU;BUY - DOYU;BUY;8,0;11,375;0,91;-91,91;283,7558
2020-07-01T00:00:00.000Z;TRADE;NLS;BUY - NLS;BUY;10,0;8,99;0,899;-90,799;192,9568
2020-07-02T00:00:00.000Z;TRADE;NIU;SELL - NIU;SELL;-7,0;17,571;1,003551234;121,993448766;314,950248766
2020-07-06T00:00:00.000Z;TRANSACTION;;FEE;;0;0;0;0,02;314,970248766
2020-07-06T00:00:00.000Z;TRANSACTION;;FEE;;0;0;0;-0,02;314,950248766
2020-07-07T00:00:00.000Z;TRADE;MAC;BUY - MAC;BUY;10,0;8,27;0,827;-83,527;231,423248766
2020-07-07T00:00:00.000Z;TRADE;ICLK;BUY - ICLK;BUY;20,0;5,42;1,0;-109,4;122,023248766
2020-07-08T00:00:00.000Z;TRADE;NIU;SELL - NIU;SELL;-4,0;21,91;0,878812844;86,761187156;208,784435922
2020-07-08T00:00:00.000Z;TRADE;NIU;BUY - NIU;BUY;4,0;23,41;0,9364;-94,5764;114,208035922
2020-07-08T00:00:00.000Z;TRADE;NIU;SELL - NIU;SELL;-4,0;23,655;0,948767102;93,671232898;207,879268820
2020-07-08T00:00:00.000Z;TRADE;NIU;BUY - NIU;BUY;4,0;25,43;1,0;-102,72;105,159268820
2020-07-09T00:00:00.000Z;TRADE;LAKE;BUY - LAKE;BUY;4,0;24,84;0,9936;-100,3536;4,805668820
2020-07-13T00:00:00.000Z;TRADE;RPAY;SELL - RPAY;SELL;-2,0;25,4838;0,511040384;50,456559616;55,262228436
2020-07-14T00:00:00.000Z;TRADE;DOYU;SELL - DOYU;SELL;-8,0;12,01;0,963875368;95,116124632;150,378353068
2020-07-14T00:00:00.000Z;TRADE;LAKE;SELL - LAKE;SELL;-4,0;21,6;0,86638544;85,53361456;235,911967628
2020-07-15T00:00:00.000Z;TRADE;IMMP;SELL - IMMP;SELL;-100,0;1,65;1,0155465;163,9844535;399,896421128
2020-07-15T00:00:00.000Z;TRADE;IMMP;BUY - IMMP;BUY;100,0;1,62;1,0;-163,0;236,896421128
2020-07-16T00:00:00.000Z;TRADE;NIU;BUY - NIU;BUY;6,0;18,3;1,0;-110,8;126,096421128
2020-07-16T00:00:00.000Z;TRADE;NBRV;SELL - NBRV;SELL;-100,0;1,02;1,0141542;100,9858458;227,082266928
2020-07-16T00:00:00.000Z;TRADE;NBRV;BUY - NBRV;BUY;100,0;1,06;1,0;-107,0;120,082266928
2020-07-17T00:00:00.000Z;TRADE;VRNA;SELL - VRNA;SELL;-5,0;14,3;0,71717515;70,78282485;190,865091778
2020-07-17T00:00:00.000Z;TRADE;VRNA;BUY - VRNA;BUY;5,0;15,5;0,775;-78,275;112,590091778
2020-07-22T00:00:00.000Z;TRADE;NIU;SELL - NIU;SELL;-6,0;19,77;1,003335502;117,616664498;230,206756276
2020-07-23T00:00:00.000Z;TRADE;YVR;SELL - YVR;SELL;-50,0;2,35;1,00854675;116,49145325;346,698209526
2020-07-23T00:00:00.000Z;TRADE;YVR;BUY - YVR;BUY;50,0;2,4;1,0;-121,0;225,698209526
2020-07-24T00:00:00.000Z;TRADE;DADA;BUY - DADA;BUY;4,0;23,08;0,9232;-93,24319999999999;132,45500952600001
2020-07-27T00:00:00.000Z;TRADE;ICLK;SELL - ICLK;SELL;-20,0;6,0038;1,00503368;119,07096632;251,52597584600001
2020-07-28T00:00:00.000Z;TRADE;MDLA;BUY - MDLA;BUY;3,0;30,7;0,921;-93,021;158,50497584600001
2020-07-28T00:00:00.000Z;TRADE;SPPI;BUY - SPPI;BUY;20,0;4,859;0,9718;-98,15180000000001;60,35317584600000
2020-07-28T00:00:00.000Z;TRADE;SPPI;SELL - SPPI;SELL;-20,0;4,5;0,958369;89,041631;149,39480684600000
2020-07-30T00:00:00.000Z;TRADE;EDSA;BUY - EDSA;BUY;8,0;12,75;1,0;-103,0;46,39480684600000
2020-07-30T00:00:00.000Z;TRADE;EDSA;SELL - EDSA;SELL;-8,0;15,1;1,00362168;119,79637832;166,19118516600000
2020-07-31T00:00:00.000Z;TRADE;SONN;SELL - SONN;SELL;-10,0;6,0;0,602516;59,397484;225,58866916600000
2020-07-31T00:00:00.000Z;TRADE;SONN;BUY - SONN;BUY;10,0;6,5;0,65;-65,65;159,93866916600000
2020-08-03T00:00:00.000Z;TRADE;MAC;SELL - MAC;SELL;-10,0;7,3415;0,736962472;72,678037528;232,61670669400000
2020-08-04T00:00:00.000Z;TRADE;ATHE;SELL - ATHE;SELL;-30,0;4,05;1,00625515;120,49374485;353,11045154400000
2020-08-04T00:00:00.000Z;TRADE;ATHE;BUY - ATHE;BUY;20,0;4,4;0,94;-88,94;264,17045154400000
2020-08-04T00:00:00.000Z;TRADE;ATHE;BUY - ATHE;BUY;10,0;4,4;0,06;-44,06;220,11045154400000
2020-08-05T00:00:00.000Z;TRANSACTION;;FEE;;0;0;0;0,27;220,38045154400000
2020-08-05T00:00:00.000Z;TRANSACTION;;FEE;;0;0;0;-0,27;220,11045154400000
2020-08-05T00:00:00.000Z;TRADE;DADA;SELL - DADA;SELL;-4,0;26,16;1,002788544;103,637211456;323,74766300000000
2020-08-06T00:00:00.000Z;TRADE;AVCT;SELL - AVCT;SELL;-10,0;12,321;1,003912941;122,206087059;445,95375005900000
2020-08-06T00:00:00.000Z;TRADE;AVCT;BUY - AVCT;BUY;10,0;13,5;1,0;-136,0;309,95375005900000
2020-08-11T00:00:00.000Z;TRANSACTION;;FEE;;0;0;0;-0,16;309,79375005900000
2020-08-13T00:00:00.000Z;TRADE;NTN;SELL - NTN;SELL;-30,0;2,96;0,89353248;87,90646751999999;397,70021757899999
2020-08-13T00:00:00.000Z;TRADE;NTN;BUY - NTN;BUY;30,0;3,55;1,0;-107,5;290,20021757899999
2020-08-14T00:00:00.000Z;TRADE;MTP;SELL - MTP;SELL;-30,0;3,44;1,00585072;102,19414928;392,39436685899999
2020-08-14T00:00:00.000Z;TRADE;MTP;BUY - MTP;BUY;30,0;3,85;1,0;-116,5;275,89436685899999
2020-08-14T00:00:00.000Z;TRADE;CREG;BUY - CREG;BUY;20,0;4,5;0,9;-90,9;184,99436685899999
